Species	HomeRange
Felis_catus	5.813465643
Felis_chaus	5.875
Felis_nigripes	10.92583333
Felis_silvestris	12.76542654
Fukomys_anselli	0.003206222
Fukomys_mechowii	0.0010666
Funambulus_pennantii	0.0018
Galago_moholi	0.10125
Gardnerycteris_crenulatum	0.895
Gazella_gazella	7.695487474
Gazella_subgutturosa	2.97440678
Genetta_genetta	2.091962025
Genetta_maculata	0.0575
Geomys_attwateri	0.0004651
Geomys_breviceps	0.00037625
Geomys_bursarius	0.000270652
Geomys_pinetis	0.00089086
Gerbillurus_paeba	0.01709375
Gerbillus_dasyurus	6.4225
Gerbillus_gerbillus	0.006073575
Giraffa_camelopardalis	282.5475208
Glaucomys_sabrinus	0.134906522
Glaucomys_volans	0.061011048
Glirulus_japonicus	0.010210526
Glis_glis	0.011651825
Globicephala_macrorhynchus	19886.33333
Glossophaga_commissarisi	0.052611111
Glossophaga_soricina	6.603
Gorilla_beringei	8.406952248
Gorilla_gorilla	10.93355102
Gracilinanus_agilis	0.00363694
Gracilinanus_microtarsus	0.003097741
Grampus_griseus	88.34222222
Graphiurus_murinus	0.0027585
Graphiurus_ocularis	0.026666667
Gulo_gulo	472.5800388
Habromys_schmidlyi	0.007515385
Halichoerus_grypus	9068.943048
Hapalemur_alaotrensis	0.01155
Hapalemur_aureus	0.26
Hapalemur_griseus	0.15
Heimyscus_fumosus	0.0026655
Helarctos_malayanus	7.73
Heliophobius_argenteocinereus	0.000210942
Hemibelideus_lemuroides	0.007603125
Herpailurus_yagouaroundi	37.8647619
Herpestes_auropunctatus	0.321390909
Herpestes_brachyurus	1.986666667
Herpestes_flavescens	1.154425
Herpestes_ichneumon	2.495
Herpestes_javanicus	0.171840845
Herpestes_naso	0.55892
Herpestes_pulverulentus	0.674909091
Herpestes_sanguineus	2.359310345
Herpestes_urva	1
Heteromys_adspersus	0.00560495
Hippocamelus_bisulcus	3.357
Hippopotamus_amphibius	40.41071429
Hippotragus_equinus	56.74866667
Hippotragus_niger	25.9075
Holochilus_sciureus	0.009003333
Homo_sapiens	122.5427778
Hoolock_hoolock	0.918888889
Hoolock_leuconedys	0.323333333
Hyaena_hyaena	42.05933333
Hydrochoerus_hydrochaeris	0.336882353
Hydromys_chrysogaster	0.302538462
Hydropotes_inermis	2.961827419
Hydrurga_leptonyx	16759.73462
Hyemoschus_aquaticus	0.108214286
Hylaeamys_megacephalus	0.003903777
Hylobates_agilis	0.2325
Hylobates_albibarbis	0.6792
Hylobates_klossii	0.333333333
Hylobates_lar	0.149094737
Hylobates_moloch	0.266140408
Hylobates_pileatus	0.5204
Hylomyscus_stella	0.002543357
Hypogeomys_antimena	0.035
Hypsugo_savii	37.45
Hystrix_africaeaustralis	0.609539623
Hystrix_cristata	0.679558451
Hystrix_indica	1.077647059
Ichneumia_albicauda	0.2773
Idiurus_macrotis	0.03
Indri_indri	0.125490196
Inia_geoffrensis	29.08970588
Isoodon_auratus	0.3328
Isoodon_macrourus	0.019368421
Isoodon_obesulus	0.05625
Kannabateomys_amblyonyx	0.000737957
Lagothrix_flavicauda	1.329333333
Lagothrix_lagothricha	3.398
Lama_guanicoe	166.8333333
Lampronycteris_brachyotis	0.294166667
Laonastes_aenigmamus	0.010919231
Lariscus_insignis	0.0205
Lasiorhinus_krefftii	0.089366667
Lasiorhinus_latifrons	0.120642222
Lasiurus_borealis	7.422843103
Lasiurus_cinereus	1.280586207
Lasiurus_seminolus	1.7233125
Lavia_frons	0.031044
Leggadina_lakedownensis	0.034285714
Lemmus_trimucronatus	0.011823158
Lemniscomys_striatus	0.002257778
Lemur_catta	0.615118967
Leontocebus_fuscicollis	1.04524
Leontocebus_nigrifrons	0.186411765
Leontocebus_weddelli	0.305
Leontopithecus_caissara	2.604761905
Leontopithecus_chrysomelas	0.882511765
Leontopithecus_chrysopygus	1.094615385
Leontopithecus_rosalia	0.510934849
Leopardus_geoffroyi	2.055012712
Leopardus_guigna	4.853888889
Leopardus_guttulus	11.21333333
Leopardus_pardalis	37.28138756
Leopardus_wiedii	10.19818182
Lepilemur_edwardsi	0.01043
Lepilemur_leucopus	0.00246
Lepilemur_ruficaudatus	0.009089095
